carat,cut,color,clarity,depth_pctg,table,price,length,width,depth
1.56,Premium,G,VS2,61.9,58.0,13178,7.4,7.44,4.59
2.01,Good,G,SI2,63.6,59.0,11096,7.97,7.9,5.05
0.5,Very Good,E,VVS2,62.6,59.0,2105,5.02,5.05,3.15
0.46,Good,F,VS1,61.6,62.2,1168,4.84,5.0,3.04
0.28,Ideal,H,VVS2,62.0,57.0,522,4.21,4.24,2.62
0.76,Premium,H,SI1,59.8,57.0,2227,5.93,5.91,3.54
1.23,Premium,I,VS2,59.3,59.0,6199,7.13,6.97,4.18
1.05,Premium,G,SI2,62.7,54.0,4018,6.51,6.48,4.07
0.41,Very Good,G,VS1,60.5,56.0,823,4.83,4.85,2.93
0.7,Very Good,G,SI2,60.7,58.0,2141,5.74,5.76,3.49
1.62,Premium,E,SI2,60.8,59.0,9526,7.62,7.57,4.62
2.14,Fair,H,I1,66.4,56.0,6328,8.0,7.92,5.29
0.32,Premium,H,SI1,63.0,59.0,591,4.37,4.33,2.74
0.41,Ideal,E,SI1,62.9,56.0,969,4.76,4.72,2.98
0.9,Good,D,VS2,65.8,58.0,4682,5.99,6.01,3.95
0.35,Ideal,I,VS2,62.5,57.0,491,4.5,4.53,2.82
0.72,Premium,E,VS2,63.0,55.0,2802,5.79,5.61,3.59
1.56,Very Good,J,SI1,59.6,58.0,7424,7.55,7.59,4.51
0.3,Good,G,VS1,63.6,55.0,776,4.29,4.26,2.72
0.42,Ideal,I,IF,62.0,54.0,961,4.82,4.85,3.0
0.59,Very Good,D,SI1,62.9,58.0,1621,5.31,5.34,3.35
0.3,Ideal,E,VVS1,62.6,54.0,838,4.3,4.33,2.7
1.21,Very Good,H,SI1,59.6,60.0,7203,6.93,6.94,4.13
0.73,Very Good,G,VS1,61.0,60.0,2708,5.76,5.84,3.54
0.43,Very Good,H,VVS1,60.2,55.0,1220,4.92,4.95,2.97
0.83,Ideal,E,SI1,61.6,56.0,3775,6.03,6.05,3.72
0.33,Premium,H,IF,62.0,58.0,868,4.39,4.42,2.73
1.7,Premium,G,VS1,61.2,57.0,17492,7.73,7.64,4.7
0.7,Premium,H,VVS1,60.9,60.0,2406,5.76,5.71,3.49
0.51,Very Good,G,VVS2,61.7,58.0,1875,5.13,5.18,3.18
0.74,Ideal,H,VVS1,61.1,56.0,3804,5.84,5.91,3.59
0.51,Ideal,H,VS1,61.1,56.0,1438,5.11,5.16,3.14
0.4,Premium,E,SI2,58.7,59.0,798,4.82,4.78,2.82
0.4,Ideal,G,VS2,61.0,57.0,1010,4.74,4.77,2.9
0.34,Ideal,F,VS1,62.1,57.0,956,4.53,4.49,2.8
0.76,Premium,J,VS1,61.1,58.0,2262,5.91,5.85,3.59
0.31,Premium,G,VS1,62.1,58.0,802,4.35,4.31,2.69
2.01,Fair,E,SI2,62.1,66.0,14948,7.99,7.92,4.94
0.35,Ideal,G,VS2,61.3,56.0,807,4.55,4.58,2.8
0.31,Ideal,I,SI2,62.0,54.1,372,4.32,4.35,2.69
0.7,Premium,F,VVS2,62.2,56.0,3018,5.72,5.63,3.53
1.01,Premium,J,I1,60.7,59.0,2602,6.42,6.39,3.89
1.08,Ideal,E,VS2,62.0,54.0,7548,6.62,6.57,4.09
0.45,Ideal,F,SI2,62.5,57.0,996,4.9,4.86,3.05
1.59,Ideal,I,SI1,62.4,58.0,9209,7.43,7.48,4.65
0.71,Ideal,E,SI2,61.5,57.0,2470,5.74,5.78,3.54
2.01,Good,I,SI1,64.1,62.0,13587,7.94,7.85,5.06
0.4,Premium,E,SI2,62.9,58.0,855,4.74,4.7,2.97
0.5,Good,F,VS2,63.3,60.0,1395,4.99,5.03,3.17
0.9,Premium,H,VVS2,62.0,58.0,4355,6.16,6.13,3.81
0.41,Ideal,I,VS2,61.2,56.0,1056,4.77,4.81,2.93
0.32,Ideal,F,VVS2,61.9,57.0,786,4.36,4.39,2.71
0.26,Premium,H,VS1,62.3,59.0,491,4.1,4.06,2.54
1.53,Good,I,SI1,63.1,57.0,8095,7.28,7.34,4.61
0.31,Ideal,F,IF,61.2,57.0,1168,4.35,4.38,2.67
1.2,Premium,J,VS2,61.8,59.0,4611,6.84,6.76,4.2
0.33,Premium,F,VS2,62.4,58.0,854,4.41,4.37,2.74
0.4,Very Good,E,SI2,63.2,57.0,855,4.68,4.66,2.95
1.02,Premium,G,VS2,62.6,59.0,6087,6.43,6.39,4.01
1.51,Premium,I,VVS1,61.0,61.0,10824,7.47,7.34,4.52
0.31,Very Good,I,VS2,62.3,57.0,435,4.32,4.35,2.7
1.18,Premium,G,VVS2,61.0,58.0,8025,6.84,6.79,4.16
0.3,Good,H,SI1,63.7,56.0,421,4.2,4.22,2.68
0.54,Ideal,E,SI1,61.5,55.0,1778,5.24,5.26,3.23
0.42,Ideal,G,IF,61.9,53.0,1289,4.83,4.87,3.0
0.34,Premium,G,VVS1,59.0,62.0,1071,4.6,4.56,2.7
0.31,Ideal,G,IF,61.0,56.0,924,4.37,4.38,2.67
0.73,Premium,F,SI1,61.9,60.0,2504,5.78,5.81,3.59
0.86,Ideal,E,SI2,60.0,56.0,3478,6.22,6.24,3.74
0.3,Premium,H,VS1,62.5,58.0,526,4.27,4.34,2.69
0.91,Very Good,F,SI1,62.0,59.0,4141,6.2,6.22,3.85
0.52,Ideal,G,VS1,60.4,57.0,1887,5.21,5.24,3.16
0.31,Very Good,D,SI2,62.8,53.0,462,4.35,4.37,2.74
0.33,Ideal,I,VVS2,62.7,54.0,579,4.42,4.45,2.78
0.4,Ideal,F,VVS1,61.3,55.0,1263,4.75,4.78,2.92
1.7,Premium,I,VS1,58.0,60.0,12030,7.88,7.84,4.56
0.9,Fair,D,SI2,64.5,61.0,3473,6.1,6.0,3.9
0.82,Very Good,F,SI2,62.9,59.0,2643,5.89,5.93,3.72
2.01,Good,F,I1,64.0,56.0,6686,7.93,7.91,5.07
1.2,Ideal,I,SI1,62.5,57.0,5107,6.77,6.71,4.21
0.3,Ideal,F,VVS2,61.5,55.0,694,4.33,4.35,2.67
0.33,Good,E,SI1,63.4,55.0,579,4.37,4.4,2.78
1.01,Good,F,VS2,63.2,58.0,5988,6.33,6.36,4.01
0.7,Very Good,F,VS2,61.4,57.0,2400,5.73,5.76,3.53
1.05,Fair,G,VS2,65.5,57.0,5673,6.38,6.34,4.17
0.52,Ideal,E,VS2,62.6,57.0,1815,5.17,5.09,3.21
0.33,Ideal,G,VS1,62.1,55.0,666,4.43,4.46,2.76
0.31,Ideal,E,VS2,60.9,57.0,745,4.36,4.38,2.66
0.56,Ideal,G,VVS2,61.0,57.0,2510,5.32,5.36,3.26
1.14,Premium,G,VS2,61.2,58.0,6619,6.75,6.71,4.12
2.31,Very Good,J,VS2,59.7,60.0,14830,8.53,8.59,5.11
0.7,Very Good,D,VVS2,61.1,57.0,3622,5.7,5.75,3.5
1.5,Premium,I,VS2,62.3,58.0,8820,7.31,7.26,4.54
0.51,Very Good,E,VS2,59.5,63.0,1671,5.22,5.17,3.09
0.82,Ideal,G,SI2,61.6,56.0,2692,5.98,6.04,3.7
0.72,Good,H,SI2,65.8,59.0,1945,5.51,5.58,3.65
0.33,Ideal,E,VVS1,61.6,55.0,1130,4.44,4.46,2.74
1.51,Ideal,G,VVS2,60.5,56.0,15303,7.45,7.42,4.5
0.72,Premium,I,IF,63.0,57.0,2795,5.72,5.7,3.6
2.0,Premium,H,SI1,59.8,60.0,13986,8.04,8.01,4.8
0.5,Premium,F,VS2,62.4,60.0,1654,5.08,5.05,3.16
0.33,Ideal,G,VVS2,62.7,55.0,965,4.46,4.41,2.78
1.12,Very Good,J,SI2,58.5,60.0,4066,6.83,6.89,4.01
0.31,Ideal,F,VS2,62.3,55.0,802,4.33,4.3,2.69
0.41,Good,F,SI1,63.7,58.0,705,4.71,4.74,3.01
0.32,Premium,F,SI1,60.0,59.0,533,4.42,4.45,2.66
0.27,Very Good,F,VVS1,62.0,55.0,591,4.16,4.16,2.59
1.53,Premium,H,VS2,60.1,58.0,11087,7.6,7.57,4.71
2.01,Good,I,SI1,58.5,62.0,14998,8.24,8.31,4.84
0.54,Ideal,G,VS2,62.0,54.0,1580,5.22,5.27,3.25
0.54,Ideal,E,SI1,60.5,57.0,1637,5.3,5.28,3.2
0.82,Very Good,F,SI1,63.9,56.9,3048,5.85,5.92,3.76
1.04,Premium,H,VS2,61.2,59.0,5561,6.57,6.51,4.0
3.01,Premium,J,SI2,60.7,59.0,18710,9.35,9.22,5.64
0.37,Premium,E,VS2,61.8,59.0,1041,4.6,4.56,2.83
0.54,Premium,F,VS2,58.2,60.0,1667,5.39,5.34,3.12
1.16,Premium,F,VS2,60.5,59.0,5781,6.86,6.8,4.13
0.73,Ideal,D,VS2,61.5,57.0,3346,5.81,5.83,3.58
0.42,Premium,G,VVS2,61.6,60.0,963,4.8,4.85,2.97
0.31,Very Good,F,SI1,60.6,60.0,516,4.34,4.37,2.64
0.41,Ideal,G,SI1,61.2,56.0,788,4.8,4.84,2.95
0.58,Premium,E,SI1,62.7,58.0,1641,5.33,5.32,3.34
0.3,Premium,G,VS2,60.8,61.0,675,4.34,4.31,2.63
1.0,Good,I,SI1,62.9,64.0,3920,6.27,6.23,3.93
1.03,Premium,H,SI1,61.1,59.0,4603,6.56,6.5,3.99
0.73,Good,E,I1,56.9,60.0,1628,5.98,5.93,3.39
0.32,Premium,H,VVS1,62.9,58.0,936,4.37,4.34,2.74
1.0,Good,G,SI1,64.3,58.0,4427,6.25,6.22,4.01
1.01,Fair,E,SI2,64.7,55.0,4118,6.37,6.3,4.1
0.4,Ideal,G,VS2,62.0,56.0,1240,4.73,4.78,2.95
0.32,Ideal,F,IF,61.8,56.0,1204,4.4,4.44,2.73
0.38,Premium,E,VVS1,61.9,58.0,1327,4.66,4.62,2.87
0.51,Premium,E,SI1,61.5,58.0,1593,5.14,5.11,3.15
1.53,Premium,I,VS1,62.4,59.0,10729,7.3,7.34,4.57
0.33,Premium,E,IF,60.8,58.0,1129,4.46,4.49,2.72
0.33,Very Good,G,VS2,60.6,61.0,579,4.46,4.49,2.71
2.01,Good,F,SI2,64.0,58.0,17313,7.94,7.83,5.05
0.55,Good,E,VS2,60.3,61.0,1715,5.31,5.37,3.22
1.02,Good,H,I1,64.3,63.0,2751,6.28,6.23,4.02
1.0,Very Good,D,VVS2,61.7,58.0,10113,6.37,6.41,3.94
0.54,Premium,G,SI1,60.3,57.0,1389,5.4,5.24,3.21
0.5,Ideal,E,VVS2,62.2,54.0,2889,5.09,5.11,3.17
3.5,Ideal,H,I1,62.8,57.0,12587,9.65,9.59,6.03
1.04,Premium,H,VS2,60.4,59.0,5777,6.66,6.51,3.98
0.7,Premium,E,SI2,62.9,59.0,2273,5.71,5.64,3.57
0.32,Premium,H,VS2,62.7,58.0,471,4.33,4.35,2.72
1.2,Very Good,H,VS2,63.2,54.0,6423,6.73,6.78,4.27
0.65,Very Good,H,SI2,62.0,56.0,1331,5.53,5.56,3.44
0.31,Good,H,VVS2,63.7,55.0,625,4.28,4.32,2.74
0.35,Premium,E,SI1,62.7,57.0,788,4.52,4.47,2.82
0.39,Ideal,H,VVS2,61.4,56.1,853,4.7,4.73,2.89
0.61,Ideal,J,VVS1,60.9,56.0,1692,5.45,5.51,3.34
0.3,Very Good,G,VVS1,62.1,61.0,789,4.27,4.3,2.66
0.5,Fair,G,VS2,65.7,57.0,1031,4.97,4.9,3.24
0.32,Premium,E,I1,60.9,58.0,444,4.42,4.38,2.68
0.61,Ideal,F,VS2,62.4,55.0,2108,5.45,5.42,3.39
0.59,Very Good,E,VS1,61.2,58.0,2200,5.4,5.45,3.32
1.71,Ideal,J,VVS2,61.6,59.0,10945,7.65,7.68,4.72
0.3,Very Good,G,VS1,60.3,62.0,605,4.3,4.33,2.6
0.41,Very Good,G,IF,60.9,59.0,1197,4.8,4.85,2.94
1.0,Good,H,SI2,57.9,62.0,4592,6.53,6.49,3.77
0.32,Ideal,H,SI1,61.5,55.0,434,4.41,4.43,2.72
0.26,Ideal,F,VS2,62.1,54.0,456,4.09,4.12,2.55
0.72,Ideal,F,SI1,61.2,55.0,2737,5.78,5.82,3.55
0.53,Ideal,D,VS2,61.4,56.0,1783,5.21,5.18,3.19
0.7,Ideal,G,SI1,62.7,57.0,2352,5.69,5.64,3.55
0.71,Ideal,I,VS2,61.5,55.0,2878,5.76,5.78,3.55
0.38,Ideal,F,VVS2,61.3,56.2,1010,4.69,4.71,2.88
0.61,Ideal,H,VVS2,60.2,57.0,1911,5.53,5.47,3.31
0.56,Premium,E,VS2,62.1,57.0,1915,5.3,5.27,3.28
1.0,Good,H,VS2,63.9,57.0,3819,6.32,6.26,4.02
0.72,Ideal,F,SI1,62.0,55.0,2737,5.76,5.78,3.58
0.56,Ideal,E,VS2,61.5,57.0,1819,5.27,5.3,3.25
0.44,Premium,E,VS2,60.4,59.0,1073,4.93,4.9,2.97
0.43,Very Good,E,SI1,63.2,57.0,948,4.84,4.78,3.04
0.34,Premium,I,VS1,61.0,60.0,689,4.51,4.48,2.74
0.57,Very Good,G,SI2,59.4,58.0,1214,5.39,5.42,3.21
1.01,Ideal,E,SI1,62.2,56.0,5068,6.43,6.4,3.99
0.32,Very Good,F,VS2,61.2,58.0,602,4.38,4.41,2.69
1.04,Premium,E,SI2,61.6,58.0,3914,6.52,6.45,3.99
1.62,Very Good,H,VS2,62.6,58.0,10912,7.57,7.45,4.7
0.33,Ideal,F,VVS2,60.7,56.0,761,4.46,4.5,2.72
0.32,Ideal,G,VVS1,62.2,55.0,1080,4.4,4.38,2.73
